[STATUS] Running train.py with arguments: Namespace(dataset='ml100k', out_path='/home/FYP/siddhant005/fyp/code/src/logs/tmp/', L=11, H=3, topk=20, epoch_num=100, learning_rate=0.001, l2=0.0001, neg_samples=2, sets_of_neg_samples=50, dim=32, conv_layer_num=3, short_term_conv_layer_num=4, num_bases=3, adj_dropout=0, lambda_val=0.5, TSAL_head_num=2, TSAL_attn_drop=0.0, cross_attn_head_num=2, cross_attn_drop=0.0, verbose=True, debug=False, seed=123456, file_path='/home/FYP/siddhant005/fyp/code/data/processed/ml-100k/', batch_size=128)
========================================================================================================================================================================================================
[INFO] device: cuda 
========================================================================================================================================================================================================
[STATUS] Data preprocessing completed
[INFO] uid2locid_time: 563 
[INFO] locid2detail: 1442 
[INFO] node_num: 2010 
[INFO] relation_num: 4 
[INFO] user_num: 563 
[INFO] train_num: 3941 
[INFO] test_num: 563 
[INFO] train_set: (3941, 14) 
[INFO] test_set: (563, 11) 
[INFO] uid_list_: 563 
[INFO] u2v: 563 
[INFO] u2vc: 563 
[INFO] v2u: 1442 
[INFO] v2vc: 1442 
========================================================================================================================================================================================================
[STATUS] Commencing training for 100 epochs

Epoch	Loss		P@10	R@10	MAP@10	NDCG@10	HR@10		P@20	R@20	MAP@20	NDCG@20	HR@20
1	0.601		0.088	0.044	0.034	0.092	0.572		0.085	0.085	0.023	0.088	0.808
2	0.568		0.087	0.044	0.037	0.095	0.572		0.085	0.085	0.025	0.090	0.801
3	0.546		0.087	0.043	0.036	0.094	0.581		0.085	0.085	0.024	0.090	0.806
4	0.541		0.091	0.046	0.036	0.096	0.602		0.083	0.083	0.024	0.089	0.815
5	0.541		0.089	0.045	0.036	0.096	0.595		0.086	0.086	0.024	0.091	0.824
6	0.524		0.090	0.045	0.035	0.093	0.593		0.087	0.087	0.024	0.090	0.826
7	0.518		0.086	0.043	0.035	0.091	0.567		0.088	0.088	0.024	0.091	0.813
8	0.523		0.093	0.047	0.038	0.098	0.597		0.088	0.088	0.026	0.093	0.817
9	0.518		0.097	0.049	0.039	0.101	0.615		0.087	0.087	0.026	0.093	0.828
10	0.508		0.089	0.045	0.037	0.096	0.583		0.086	0.086	0.025	0.092	0.812
11	0.515		0.092	0.046	0.036	0.096	0.590		0.089	0.089	0.025	0.093	0.806
12	0.512		0.096	0.048	0.038	0.100	0.600		0.091	0.091	0.026	0.095	0.822
13	0.512		0.101	0.051	0.040	0.105	0.627		0.089	0.089	0.026	0.094	0.819
14	0.501		0.102	0.051	0.040	0.105	0.636		0.089	0.089	0.026	0.094	0.801
