[STATUS] Running train.py with arguments: Namespace(dataset='ml1m', out_path='/home/FYP/siddhant005/fyp/code/src/logs/tmp/', L=11, H=3, topk=20, epoch_num=100, learning_rate=0.001, l2=0.0001, neg_samples=2, sets_of_neg_samples=50, dim=32, conv_layer_num=3, short_term_conv_layer_num=4, num_bases=3, adj_dropout=0, lambda_val=0.5, TSAL_head_num=2, TSAL_attn_drop=0.0, cross_attn_head_num=2, cross_attn_drop=0.0, verbose=True, debug=False, seed=123456, file_path='/home/FYP/siddhant005/fyp/code/data/processed/ml-1m/', batch_size=512)
========================================================================================================================================================================================================
[INFO] device: cuda 
========================================================================================================================================================================================================
[STATUS] Data preprocessing completed
[INFO] uid2locid_time: 4247 
[INFO] locid2detail: 3116 
[INFO] node_num: 7368 
[INFO] relation_num: 4 
[INFO] user_num: 4247 
[INFO] train_num: 29729 
[INFO] test_num: 4247 
[INFO] train_set: (29729, 14) 
[INFO] test_set: (4247, 11) 
[INFO] uid_list_: 4247 
[INFO] u2v: 4247 
[INFO] u2vc: 4247 
[INFO] v2u: 3116 
[INFO] v2vc: 3116 
========================================================================================================================================================================================================
[STATUS] Commencing training for 100 epochs

Epoch	Loss		P@10	R@10	MAP@10	NDCG@10	HR@10		P@20	R@20	MAP@20	NDCG@20	HR@20
1	0.123		0.063	0.032	0.030	0.067	0.324		0.052	0.052	0.020	0.058	0.364
2	0.118		0.063	0.032	0.030	0.070	0.334		0.054	0.054	0.020	0.061	0.419
3	0.118		0.063	0.032	0.028	0.068	0.322		0.057	0.057	0.019	0.062	0.450
4	0.116		0.063	0.032	0.028	0.067	0.340		0.060	0.060	0.020	0.063	0.465
5	0.117		0.062	0.031	0.024	0.064	0.359		0.058	0.058	0.019	0.060	0.396
6	0.115		0.060	0.030	0.022	0.058	0.344		0.059	0.059	0.018	0.058	0.401
7	0.115		0.066	0.033	0.024	0.062	0.354		0.059	0.059	0.019	0.059	0.391
8	0.116		0.066	0.033	0.024	0.063	0.355		0.057	0.057	0.018	0.058	0.392
9	0.115		0.064	0.032	0.024	0.061	0.345		0.058	0.058	0.019	0.058	0.403
10	0.115		0.067	0.033	0.024	0.063	0.363		0.062	0.062	0.018	0.061	0.486
11	0.116		0.069	0.035	0.025	0.066	0.369		0.064	0.064	0.019	0.063	0.481
12	0.116		0.069	0.035	0.026	0.066	0.359		0.065	0.065	0.020	0.064	0.490
13	0.116		0.070	0.035	0.024	0.067	0.424		0.062	0.062	0.019	0.063	0.502
14	0.115		0.069	0.034	0.028	0.070	0.370		0.062	0.062	0.020	0.064	0.496
15	0.118		0.068	0.034	0.027	0.068	0.358		0.061	0.061	0.019	0.063	0.492
16	0.115		0.072	0.036	0.026	0.070	0.428		0.066	0.066	0.019	0.067	0.533
17	0.115		0.073	0.036	0.025	0.068	0.407		0.063	0.063	0.018	0.063	0.531
18	0.115		0.068	0.034	0.025	0.064	0.367		0.064	0.064	0.019	0.063	0.525
19	0.114		0.068	0.034	0.026	0.068	0.387		0.065	0.065	0.020	0.065	0.523
20	0.115		0.073	0.037	0.026	0.070	0.427		0.064	0.064	0.018	0.065	0.538
21	0.116		0.074	0.037	0.025	0.069	0.432		0.067	0.067	0.018	0.065	0.558
22	0.115		0.072	0.036	0.024	0.067	0.435		0.065	0.065	0.018	0.064	0.556
23	0.114		0.073	0.037	0.024	0.067	0.452		0.068	0.068	0.018	0.066	0.572
24	0.114		0.074	0.037	0.025	0.071	0.483		0.066	0.066	0.018	0.066	0.564
25	0.115		0.075	0.037	0.026	0.072	0.466		0.065	0.065	0.019	0.066	0.566
26	0.114		0.074	0.037	0.026	0.072	0.457		0.065	0.065	0.018	0.067	0.572
27	0.115		0.075	0.037	0.025	0.070	0.446		0.064	0.064	0.018	0.064	0.559
28	0.114		0.073	0.036	0.025	0.069	0.454		0.065	0.065	0.018	0.065	0.562
29	0.114		0.074	0.037	0.024	0.070	0.469		0.065	0.065	0.018	0.065	0.562
30	0.114		0.070	0.035	0.024	0.067	0.443		0.063	0.063	0.017	0.063	0.553
31	0.114		0.072	0.036	0.025	0.070	0.449		0.063	0.063	0.018	0.064	0.552
32	0.114		0.071	0.036	0.026	0.072	0.458		0.062	0.062	0.018	0.065	0.551
33	0.115		0.071	0.035	0.025	0.071	0.464		0.062	0.062	0.017	0.064	0.559
34	0.114		0.072	0.036	0.025	0.071	0.469		0.062	0.062	0.018	0.064	0.563
35	0.113		0.069	0.035	0.025	0.070	0.451		0.061	0.061	0.017	0.064	0.577
36	0.114		0.069	0.034	0.025	0.068	0.447		0.063	0.063	0.017	0.064	0.583
37	0.113		0.070	0.035	0.027	0.073	0.457		0.063	0.063	0.019	0.067	0.579
38	0.113		0.065	0.032	0.025	0.067	0.429		0.061	0.061	0.018	0.063	0.565
39	0.113		0.063	0.032	0.024	0.065	0.421		0.059	0.059	0.017	0.061	0.550
40	0.114		0.066	0.033	0.025	0.066	0.429		0.060	0.060	0.017	0.062	0.565
41	0.114		0.070	0.035	0.025	0.070	0.460		0.061	0.061	0.018	0.064	0.588
42	0.114		0.072	0.036	0.026	0.072	0.477		0.062	0.062	0.018	0.065	0.594
43	0.114		0.071	0.036	0.026	0.073	0.478		0.061	0.061	0.018	0.065	0.585
44	0.115		0.071	0.035	0.025	0.071	0.474		0.061	0.061	0.018	0.064	0.581
45	0.116		0.070	0.035	0.025	0.069	0.459		0.061	0.061	0.017	0.063	0.574
46	0.115		0.070	0.035	0.025	0.069	0.459		0.062	0.062	0.017	0.064	0.571
47	0.113		0.070	0.035	0.025	0.069	0.460		0.061	0.061	0.017	0.063	0.571
48	0.115		0.069	0.035	0.025	0.070	0.466		0.060	0.060	0.017	0.063	0.570
49	0.114		0.068	0.034	0.026	0.071	0.452		0.059	0.059	0.018	0.063	0.565
50	0.114		0.069	0.034	0.026	0.071	0.457		0.060	0.060	0.018	0.064	0.576
51	0.114		0.069	0.035	0.026	0.071	0.462		0.060	0.060	0.018	0.064	0.576
52	0.113		0.070	0.035	0.026	0.071	0.465		0.060	0.060	0.018	0.064	0.574
53	0.113		0.070	0.035	0.025	0.070	0.467		0.061	0.061	0.018	0.064	0.575
54	0.114		0.069	0.035	0.026	0.070	0.469		0.060	0.060	0.018	0.064	0.569
55	0.113		0.070	0.035	0.026	0.070	0.462		0.061	0.061	0.018	0.064	0.570
56	0.114		0.069	0.034	0.026	0.070	0.446		0.062	0.062	0.018	0.065	0.564
57	0.114		0.067	0.034	0.026	0.069	0.445		0.061	0.061	0.018	0.064	0.558
58	0.114		0.066	0.033	0.025	0.067	0.437		0.062	0.062	0.018	0.064	0.571
59	0.113		0.068	0.034	0.026	0.070	0.448		0.063	0.063	0.018	0.066	0.581
60	0.113		0.068	0.034	0.026	0.069	0.422		0.061	0.061	0.018	0.064	0.568
61	0.113		0.068	0.034	0.025	0.069	0.443		0.061	0.061	0.018	0.064	0.573
62	0.114		0.071	0.036	0.027	0.073	0.478		0.063	0.063	0.018	0.066	0.603
63	0.114		0.069	0.034	0.026	0.071	0.451		0.061	0.061	0.018	0.065	0.585
64	0.113		0.067	0.034	0.025	0.068	0.435		0.061	0.061	0.018	0.064	0.575
65	0.113		0.067	0.033	0.025	0.067	0.425		0.060	0.060	0.017	0.062	0.555
66	0.113		0.068	0.034	0.025	0.067	0.439		0.062	0.062	0.017	0.064	0.570
67	0.113		0.069	0.034	0.026	0.070	0.444		0.062	0.062	0.018	0.065	0.575
68	0.114		0.065	0.033	0.025	0.068	0.418		0.061	0.061	0.018	0.064	0.568
69	0.114		0.066	0.033	0.025	0.068	0.437		0.060	0.060	0.017	0.063	0.575
70	0.113		0.064	0.032	0.024	0.064	0.420		0.059	0.059	0.016	0.061	0.563
71	0.113		0.066	0.033	0.025	0.068	0.435		0.061	0.061	0.018	0.064	0.575
72	0.114		0.066	0.033	0.025	0.068	0.431		0.060	0.060	0.017	0.063	0.565
73	0.114		0.066	0.033	0.025	0.068	0.431		0.060	0.060	0.017	0.063	0.564
74	0.114		0.067	0.033	0.025	0.067	0.423		0.060	0.060	0.017	0.062	0.556
75	0.115		0.066	0.033	0.024	0.065	0.423		0.060	0.060	0.017	0.061	0.565
76	0.115		0.066	0.033	0.023	0.065	0.432		0.059	0.059	0.016	0.060	0.560
77	0.114		0.065	0.033	0.024	0.066	0.425		0.058	0.058	0.017	0.061	0.564
78	0.114		0.065	0.032	0.024	0.065	0.424		0.058	0.058	0.016	0.061	0.564
