u,i,ts,label,idx
402,5570,893721600.0,1,1
977,6201,894931200.0,1,2
977,6632,894931200.0,1,3
3132,6135,895017600.0,1,4
3132,6242,895017600.0,1,5
3132,6291,895017600.0,1,6
3132,6895,895017600.0,1,7
3132,6660,895190400.0,1,8
1476,6062,895708800.0,1,9
977,5844,896313600.0,1,10
1476,6882,896486400.0,1,11
3132,6283,896572800.0,1,12
3132,6296,896572800.0,1,13
1644,6895,897004800.0,1,14
1644,6503,897091200.0,1,15
3132,6288,897350400.0,1,16
3206,6167,897523200.0,1,17
1644,5721,897955200.0,1,18
523,6539,898819200.0,1,19
523,6556,898819200.0,1,20
4146,6921,898819200.0,1,21
3402,6283,898992000.0,1,22
3402,6288,898992000.0,1,23
3402,6296,898992000.0,1,24
3402,6895,898992000.0,1,25
523,5587,899078400.0,1,26
523,5711,899078400.0,1,27
523,5879,899078400.0,1,28
523,5974,899078400.0,1,29
523,6735,899078400.0,1,30
523,5850,899164800.0,1,31
3058,6110,899769600.0,1,32
977,6202,899769600.0,1,33
3367,6281,899769600.0,1,34
4122,6891,899769600.0,1,35
701,6610,899942400.0,1,36
226,6809,899942400.0,1,37
3367,6299,900115200.0,1,38
688,5596,900288000.0,1,39
2369,6639,900374400.0,1,40
226,5546,900460800.0,1,41
523,5721,900460800.0,1,42
2369,6475,900460800.0,1,43
701,6969,900460800.0,1,44
2369,6413,900547200.0,1,45
2369,6924,900547200.0,1,46
2136,6251,900633600.0,1,47
3367,6274,900633600.0,1,48
3367,6285,900633600.0,1,49
2369,6503,900633600.0,1,50
2369,6553,900633600.0,1,51
2495,6702,900633600.0,1,52
2369,5892,900979200.0,1,53
701,5598,901065600.0,1,54
701,5602,901065600.0,1,55
701,6157,901065600.0,1,56
701,6227,901065600.0,1,57
701,6463,901065600.0,1,58
2034,6965,901065600.0,1,59
3410,6283,901238400.0,1,60
3410,6895,901238400.0,1,61
688,6112,901411200.0,1,62
2034,5803,901497600.0,1,63
2034,5864,901497600.0,1,64
2034,6121,901497600.0,1,65
2495,6131,901497600.0,1,66
1206,5670,901670400.0,1,67
1206,6694,901670400.0,1,68
1206,6895,901670400.0,1,69
1206,5669,901756800.0,1,70
2495,5924,901756800.0,1,71
1206,6653,901756800.0,1,72
1206,6654,901756800.0,1,73
3099,6127,901843200.0,1,74
1206,6298,901843200.0,1,75
688,6388,901843200.0,1,76
2575,5952,902188800.0,1,77
688,6375,902361600.0,1,78
3402,6301,903225600.0,1,79
209,6874,903398400.0,1,80
1376,6662,903484800.0,1,81
1376,6945,903484800.0,1,82
2575,5951,903571200.0,1,83
2575,6202,903571200.0,1,84
2575,6141,903830400.0,1,85
2493,6367,903830400.0,1,86
700,6417,903916800.0,1,87
1275,6592,904003200.0,1,88
688,5600,904262400.0,1,89
700,6157,904262400.0,1,90
2575,6174,904262400.0,1,91
700,5598,904694400.0,1,92
688,5843,904953600.0,1,93
1108,5656,905040000.0,1,94
1376,6141,906076800.0,1,95
310,5583,906681600.0,1,96
1275,5681,907459200.0,1,97
310,6745,907459200.0,1,98
310,6905,907459200.0,1,99
209,7031,907459200.0,1,100
133,6340,907718400.0,1,101
1908,7021,907804800.0,1,102
672,5653,907977600.0,1,103
300,5564,908150400.0,1,104
300,5567,908150400.0,1,105
1275,6376,908150400.0,1,106
1275,6489,908150400.0,1,107
300,5896,908755200.0,1,108
1275,6492,908841600.0,1,109
133,6505,908928000.0,1,110
2034,6316,909100800.0,1,111
2034,6315,909187200.0,1,112
1908,6952,909705600.0,1,113
133,5624,909792000.0,1,114
300,5555,909964800.0,1,115
300,5902,910051200.0,1,116
672,6380,910396800.0,1,117
3367,7069,910742400.0,1,118
1908,6122,910828800.0,1,119
2030,6296,910828800.0,1,120
2030,6301,910828800.0,1,121
2030,6895,910828800.0,1,122
509,7042,911001600.0,1,123
300,5561,911088000.0,1,124
2032,7032,911520000.0,1,125
509,5582,912124800.0,1,126
310,5585,912124800.0,1,127
509,7010,912124800.0,1,128
509,7090,912124800.0,1,129
310,5711,912384000.0,1,130
310,5573,912729600.0,1,131
133,5953,913161600.0,1,132
1376,6896,913248000.0,1,133
1376,6066,913593600.0,1,134
2034,5821,913766400.0,1,135
2034,5822,913766400.0,1,136
2034,5861,913766400.0,1,137
1908,7064,913852800.0,1,138
509,7089,913939200.0,1,139
1369,7023,914112000.0,1,140
260,5552,914457600.0,1,141
1369,5705,914544000.0,1,142
2549,6866,914630400.0,1,143
2549,5953,914889600.0,1,144
2549,6001,914889600.0,1,145
2549,6135,914889600.0,1,146
2549,7068,914889600.0,1,147
2549,7086,914889600.0,1,148
2030,6378,915062400.0,1,149
509,7098,915580800.0,1,150
1280,6048,916012800.0,1,151
1280,6084,916012800.0,1,152
956,6407,916012800.0,1,153
1908,6461,916358400.0,1,154
509,7023,916358400.0,1,155
3556,6369,916617600.0,1,156
739,6840,916617600.0,1,157
509,7072,916617600.0,1,158
1280,6126,916790400.0,1,159
1280,6127,916876800.0,1,160
1280,6128,916876800.0,1,161
1644,7023,917136000.0,1,162
1644,7064,917136000.0,1,163
1908,6650,918000000.0,1,164
1908,6233,918086400.0,1,165
359,6743,918172800.0,1,166
2661,7049,918259200.0,1,167
3692,6473,918518400.0,1,168
509,6743,918518400.0,1,169
359,6901,918518400.0,1,170
310,7065,918518400.0,1,171
359,5565,918604800.0,1,172
133,6331,918691200.0,1,173
3540,7068,918691200.0,1,174
1591,7064,919123200.0,1,175
1094,5654,919209600.0,1,176
1820,5762,919209600.0,1,177
3025,6820,919555200.0,1,178
3025,6822,919555200.0,1,179
509,6397,919641600.0,1,180
1908,6647,919641600.0,1,181
