Epoch, Train Loss, Train AP, Train F1, Val AP, Val F1, Test AP, Test F1, Test AUC
1, 1.1737, 0.7531, 0.6828, 0.7797, 0.6752, 0.6594, 0.0000, 0.6317
2, 1.1484, 0.7824, 0.7130, 0.7777, 0.6692, 0.4730, 0.4682, 0.3450
3, 1.1334, 0.7939, 0.7196, 0.7889, 0.7053, 0.4254, 0.0000, 0.2858
4, 1.1244, 0.7938, 0.7225, 0.7813, 0.6837, 0.7679, 0.6830, 0.7406
5, 1.1197, 0.7930, 0.7249, 0.7916, 0.7017, 0.5000, 0.0000, 0.5000
6, 1.1120, 0.8002, 0.7322, 0.7897, 0.6814, 0.7665, 0.6972, 0.7388
7, 1.1093, 0.7911, 0.7169, 0.7806, 0.6697, 0.7621, 0.6980, 0.7365
8, 1.1017, 0.8084, 0.7403, 0.7755, 0.6637, 0.7484, 0.6698, 0.7228
9, 1.0943, 0.8052, 0.7470, 0.7851, 0.6661, 0.7714, 0.7016, 0.7488
10, 1.0886, 0.8028, 0.7416, 0.7778, 0.6772, 0.7675, 0.7024, 0.7452
11, 1.0938, 0.7635, 0.6819, 0.7779, 0.6815, 0.7694, 0.6943, 0.7420
12, 1.0955, 0.7837, 0.7081, 0.7789, 0.6858, 0.7778, 0.6928, 0.7498
13, 1.0953, 0.7935, 0.7196, 0.7853, 0.6910, 0.7710, 0.6999, 0.7448
14, 1.0943, 0.7974, 0.7232, 0.7863, 0.6952, 0.7758, 0.6920, 0.7467
15, 1.0923, 0.7998, 0.7279, 0.7775, 0.6887, 0.7574, 0.6659, 0.7262
16, 1.0904, 0.8011, 0.7280, 0.7753, 0.6960, 0.7619, 0.6654, 0.7290
17, 1.0885, 0.7996, 0.7286, 0.7771, 0.6874, 0.7624, 0.6737, 0.7301
18, 1.0872, 0.8032, 0.7335, 0.7771, 0.6854, 0.7638, 0.6956, 0.7377
19, 1.0846, 0.8071, 0.7368, 0.7783, 0.6919, 0.7574, 0.6689, 0.7224
20, 1.0820, 0.8132, 0.7418, 0.7773, 0.6880, 0.7551, 0.6614, 0.7179
21, 1.0823, 0.7940, 0.7158, 0.7767, 0.6750, 0.7592, 0.6739, 0.7204
22, 1.0822, 0.7990, 0.7198, 0.7870, 0.6782, 0.7506, 0.6565, 0.7106
23, 1.0819, 0.8004, 0.7217, 0.7880, 0.6788, 0.7529, 0.6438, 0.7137
24, 1.0814, 0.8033, 0.7223, 0.7836, 0.6753, 0.7549, 0.6320, 0.7114
25, 1.0809, 0.8027, 0.7235, 0.7820, 0.6757, 0.7509, 0.6089, 0.7070
26, 1.0803, 0.8037, 0.7237, 0.7904, 0.6803, 0.7409, 0.5917, 0.6996
27, 1.0796, 0.8060, 0.7258, 0.7830, 0.6809, 0.7420, 0.5795, 0.6985
