Epoch, Train Loss, Train AP, Train F1, Val AP, Val F1, Test AP, Test F1, Test AUC
1, 1.2417, 0.6981, 0.6323, 0.6664, 0.5561, 0.5485, 0.0000, 0.4997
2, 1.2110, 0.7497, 0.6486, 0.6568, 0.5989, 0.5789, 0.3973, 0.5526
3, 1.1877, 0.7611, 0.6881, 0.6540, 0.5188, 0.6129, 0.4140, 0.5896
4, 1.1756, 0.7646, 0.6793, 0.5933, 0.4188, 0.5971, 0.6112, 0.5804
5, 1.1634, 0.7616, 0.6956, 0.6321, 0.5426, 0.6114, 0.5269, 0.5800
6, 1.1589, 0.7504, 0.7049, 0.6215, 0.5704, 0.5979, 0.6079, 0.5709
7, 1.1543, 0.7565, 0.6971, 0.6404, 0.5727, 0.6077, 0.5664, 0.5715
8, 1.1483, 0.7690, 0.7078, 0.6416, 0.5734, 0.6052, 0.5268, 0.5690
9, 1.1471, 0.7466, 0.6959, 0.6338, 0.5616, 0.6007, 0.5564, 0.5562
10, 1.1411, 0.7784, 0.7071, 0.6165, 0.4737, 0.5707, 0.5482, 0.5285
11, 1.1423, 0.7447, 0.6592, 0.6408, 0.4742, 0.5828, 0.1975, 0.5459
12, 1.1383, 0.7815, 0.6788, 0.6442, 0.4877, 0.5623, 0.2397, 0.5182
13, 1.1342, 0.7859, 0.6909, 0.6310, 0.4788, 0.5619, 0.2350, 0.5256
14, 1.1300, 0.7912, 0.6920, 0.6344, 0.4640, 0.5672, 0.2168, 0.5270
15, 1.1260, 0.7934, 0.6930, 0.6296, 0.4565, 0.5642, 0.1962, 0.5266
16, 1.1221, 0.7940, 0.6962, 0.6354, 0.4399, 0.5528, 0.1435, 0.5212
17, 1.1183, 0.7973, 0.6947, 0.6358, 0.4192, 0.5454, 0.0906, 0.5159
18, 1.1149, 0.7978, 0.6917, 0.6293, 0.3997, 0.5250, 0.0000, 0.5108
19, 1.1114, 0.8008, 0.6949, 0.6266, 0.3892, 0.5079, 0.0000, 0.5005
20, 1.1080, 0.8016, 0.6983, 0.6400, 0.3934, 0.5260, 0.0000, 0.5197
21, 1.1067, 0.7921, 0.6753, 0.6406, 0.4701, 0.5257, 0.0000, 0.5186
22, 1.1052, 0.7973, 0.6835, 0.6425, 0.4696, 0.5134, 0.0000, 0.5053
23, 1.1035, 0.8016, 0.6874, 0.6340, 0.4801, 0.5110, 0.0000, 0.5010
24, 1.1019, 0.8015, 0.6873, 0.6449, 0.4877, 0.5137, 0.0000, 0.5055
25, 1.1005, 0.8004, 0.6866, 0.6481, 0.4861, 0.5119, 0.0000, 0.4985
26, 1.0990, 0.8041, 0.6889, 0.6581, 0.4884, 0.5157, 0.0000, 0.5036
27, 1.0974, 0.8051, 0.6908, 0.6489, 0.4887, 0.5223, 0.0000, 0.5092
