Epoch, Train Loss, Train AP, Train F1, Val AP, Val F1, Test AP, Test F1, Test AUC
1, 1.2967, 0.6608, 0.5780, 0.6987, 0.5287, 0.6621, 0.0000, 0.6401
2, 1.2732, 0.7137, 0.6069, 0.7193, 0.6034, 0.6577, 0.6770, 0.6557
3, 1.2535, 0.7328, 0.6310, 0.7297, 0.6228, 0.7170, 0.6263, 0.6929
4, 1.2388, 0.7389, 0.6322, 0.7338, 0.5881, 0.7241, 0.5155, 0.7021
5, 1.2253, 0.7543, 0.6629, 0.7361, 0.6220, 0.7184, 0.6849, 0.6866
6, 1.2134, 0.7572, 0.6840, 0.7347, 0.6060, 0.7248, 0.6536, 0.6966
7, 1.2020, 0.7627, 0.6939, 0.7285, 0.5949, 0.7163, 0.6455, 0.6881
8, 1.1924, 0.7656, 0.6976, 0.7232, 0.6168, 0.7121, 0.6360, 0.6811
9, 1.1846, 0.7616, 0.6998, 0.7245, 0.6275, 0.7003, 0.6460, 0.6722
10, 1.1800, 0.7439, 0.6829, 0.7262, 0.6196, 0.7149, 0.6540, 0.6814
11, 1.1838, 0.7124, 0.6098, 0.7199, 0.6248, 0.7173, 0.6412, 0.6804
12, 1.1861, 0.7164, 0.6186, 0.7269, 0.6252, 0.7148, 0.6515, 0.6803
13, 1.1873, 0.7174, 0.6284, 0.7253, 0.6270, 0.7204, 0.6615, 0.6890
14, 1.1875, 0.7221, 0.6330, 0.7243, 0.6263, 0.7186, 0.6619, 0.6854
15, 1.1869, 0.7270, 0.6401, 0.7276, 0.6347, 0.7178, 0.6657, 0.6873
16, 1.1855, 0.7292, 0.6493, 0.7294, 0.6351, 0.7196, 0.6675, 0.6876
17, 1.1840, 0.7319, 0.6559, 0.7289, 0.6385, 0.7200, 0.6678, 0.6893
18, 1.1825, 0.7293, 0.6578, 0.7250, 0.6314, 0.7178, 0.6699, 0.6868
19, 1.1808, 0.7322, 0.6671, 0.7278, 0.6282, 0.7200, 0.6711, 0.6886
20, 1.1787, 0.7382, 0.6684, 0.7253, 0.6271, 0.7115, 0.6703, 0.6803
21, 1.1874, 0.6899, 0.6256, 0.7191, 0.5917, 0.7092, 0.5456, 0.6692
22, 1.1907, 0.7121, 0.5804, 0.7210, 0.5807, 0.7091, 0.4208, 0.6614
23, 1.1928, 0.7227, 0.5827, 0.7241, 0.5791, 0.7060, 0.3859, 0.6583
24, 1.1941, 0.7291, 0.5908, 0.7296, 0.5740, 0.7027, 0.4120, 0.6537
25, 1.1954, 0.7304, 0.5987, 0.7271, 0.5807, 0.6970, 0.3908, 0.6471
26, 1.1963, 0.7333, 0.6018, 0.7259, 0.5779, 0.7015, 0.4069, 0.6508
27, 1.1970, 0.7337, 0.6043, 0.7300, 0.5776, 0.7003, 0.4064, 0.6495
