Epoch, Train Loss, Train AP, Train F1, Val AP, Val F1, Test AP, Test F1, Test AUC
1, 1.2683, 0.6849, 0.5930, 0.6892, 0.5434, 0.5666, 0.1640, 0.5582
2, 1.2382, 0.7315, 0.6299, 0.6923, 0.5378, 0.5261, 0.0391, 0.5232
3, 1.2177, 0.7494, 0.6573, 0.7000, 0.5969, 0.5023, 0.6667, 0.5022
4, 1.1998, 0.7606, 0.6787, 0.6948, 0.5967, 0.5952, 0.3002, 0.5867
5, 1.1885, 0.7546, 0.6862, 0.7133, 0.5945, 0.6878, 0.6666, 0.6401
6, 1.1813, 0.7550, 0.6891, 0.7145, 0.5910, 0.5000, 0.0000, 0.5000
7, 1.1702, 0.7816, 0.7025, 0.7168, 0.5994, 0.5148, 0.0000, 0.5220
8, 1.1611, 0.7917, 0.7112, 0.7292, 0.6199, 0.7041, 0.5668, 0.6732
9, 1.1565, 0.7625, 0.6884, 0.7204, 0.6258, 0.6969, 0.6605, 0.6667
10, 1.1496, 0.7890, 0.7138, 0.7083, 0.6389, 0.6712, 0.6619, 0.6484
11, 1.1511, 0.7508, 0.6840, 0.7167, 0.6334, 0.6570, 0.6530, 0.6372
12, 1.1498, 0.7675, 0.6965, 0.7202, 0.6331, 0.6541, 0.6510, 0.6332
13, 1.1478, 0.7725, 0.6996, 0.7129, 0.6363, 0.6508, 0.6499, 0.6276
14, 1.1454, 0.7764, 0.7008, 0.7184, 0.6408, 0.6603, 0.6507, 0.6334
15, 1.1432, 0.7779, 0.6991, 0.7172, 0.6406, 0.6680, 0.6499, 0.6399
16, 1.1405, 0.7831, 0.7023, 0.7133, 0.6397, 0.6637, 0.6507, 0.6302
17, 1.1373, 0.7881, 0.7074, 0.7098, 0.6368, 0.6728, 0.6503, 0.6378
18, 1.1338, 0.7934, 0.7131, 0.7120, 0.6395, 0.6658, 0.6507, 0.6314
19, 1.1302, 0.7964, 0.7177, 0.7144, 0.6390, 0.6699, 0.6510, 0.6337
20, 1.1267, 0.7982, 0.7176, 0.7081, 0.6324, 0.6692, 0.6518, 0.6312
21, 1.1319, 0.7384, 0.6770, 0.7198, 0.6300, 0.6162, 0.1884, 0.5724
22, 1.1325, 0.7703, 0.6728, 0.7204, 0.6233, 0.5980, 0.0367, 0.5507
23, 1.1324, 0.7772, 0.6716, 0.7165, 0.6219, 0.5818, 0.0382, 0.5329
24, 1.1323, 0.7775, 0.6712, 0.7210, 0.6213, 0.5834, 0.0382, 0.5287
25, 1.1319, 0.7794, 0.6725, 0.7217, 0.6240, 0.5795, 0.0467, 0.5237
26, 1.1315, 0.7796, 0.6729, 0.7132, 0.6173, 0.5807, 0.0516, 0.5228
27, 1.1310, 0.7818, 0.6747, 0.7205, 0.6212, 0.5764, 0.0591, 0.5196
