u,i,ts,label,idx
101,177,874724710.0,1,0
101,289,874724727.0,1,1
101,153,874724754.0,1,2
101,361,874724781.0,1,3
101,321,874724843.0,1,4
101,732,874724882.0,1,5
101,1006,874724882.0,1,6
101,60,874724905.0,1,7
101,971,874724937.0,1,8
101,140,874724988.0,1,9
101,113,874725081.0,1,10
101,136,874725120.0,1,11
101,1054,874725264.0,1,12
101,311,874725386.0,1,13
101,347,874725485.0,1,14
101,240,874725485.0,1,15
845,731,874728168.0,1,16
845,490,874728338.0,1,17
845,406,874728338.0,1,18
845,446,874728370.0,1,19
845,855,874728396.0,1,20
845,781,874728396.0,1,21
845,707,874728430.0,1,22
845,452,874728461.0,1,23
845,403,874728565.0,1,24
845,416,874728598.0,1,25
705,176,874729682.0,1,26
705,1136,874729682.0,1,27
705,618,874729749.0,1,28
705,308,874729750.0,1,29
705,424,874729750.0,1,30
705,357,874729750.0,1,31
705,114,874729778.0,1,32
705,212,874729778.0,1,33
705,320,874729816.0,1,34
705,291,874729816.0,1,35
705,156,874729850.0,1,36
705,816,874729850.0,1,37
705,718,874729850.0,1,38
705,102,874729850.0,1,39
705,52,874729901.0,1,40
705,321,874729901.0,1,41
705,161,874729901.0,1,42
705,91,874729935.0,1,43
705,293,874729935.0,1,44
705,435,874729935.0,1,45
705,518,874729935.0,1,46
705,29,874729935.0,1,47
705,734,874729935.0,1,48
705,57,874729960.0,1,49
705,438,874729995.0,1,50
705,480,874729995.0,1,51
705,101,874729995.0,1,52
705,20,874729996.0,1,53
705,412,874729996.0,1,54
705,453,874729996.0,1,55
705,231,874730031.0,1,56
705,244,874730031.0,1,57
705,179,874730031.0,1,58
705,169,874730031.0,1,59
705,50,874730056.0,1,60
705,207,874730085.0,1,61
705,191,874730085.0,1,62
705,299,874730085.0,1,63
705,112,874730085.0,1,64
705,1203,874730155.0,1,65
705,145,874730155.0,1,66
705,33,874730155.0,1,67
705,1530,874730155.0,1,68
705,47,874730179.0,1,69
705,15,874730206.0,1,70
705,1295,874730206.0,1,71
705,329,874730206.0,1,72
705,465,874730234.0,1,73
705,576,874730234.0,1,74
705,358,874730234.0,1,75
705,135,874730234.0,1,76
705,1118,874730235.0,1,77
705,549,874730261.0,1,78
705,841,874730261.0,1,79
705,309,874730261.0,1,80
705,182,874730261.0,1,81
705,919,874730293.0,1,82
705,556,874730293.0,1,83
705,347,874730293.0,1,84
705,264,874730320.0,1,85
705,528,874730320.0,1,86
705,218,874730320.0,1,87
705,887,874730342.0,1,88
705,366,874730370.0,1,89
705,610,874730370.0,1,90
705,283,874730370.0,1,91
705,316,874730370.0,1,92
705,53,874730396.0,1,93
705,254,874730396.0,1,94
705,693,874730396.0,1,95
705,574,874730420.0,1,96
705,936,874730443.0,1,97
705,345,874730467.0,1,98
705,431,874730467.0,1,99
705,474,874730467.0,1,100
705,961,874730490.0,1,101
705,201,874730491.0,1,102
705,472,874730491.0,1,103
705,396,874730491.0,1,104
705,330,874730520.0,1,105
705,475,874730520.0,1,106
705,905,874730520.0,1,107
705,21,874730521.0,1,108
705,1049,874730521.0,1,109
705,590,874730552.0,1,110
705,354,874730552.0,1,111
705,26,874730552.0,1,112
705,543,874730553.0,1,113
705,544,874730553.0,1,114
845,83,874767408.0,1,115
845,302,874767408.0,1,116
845,11,874767408.0,1,117
845,364,874767519.0,1,118
845,136,874767550.0,1,119
845,388,874767550.0,1,120
845,124,874767550.0,1,121
20,652,874774286.0,1,122
20,289,874774286.0,1,123
20,51,874774449.0,1,124
20,144,874774449.0,1,125
20,89,874774575.0,1,126
20,445,874774575.0,1,127
20,49,874774575.0,1,128
20,1076,874774575.0,1,129
20,357,874774718.0,1,130
20,158,874774719.0,1,131
20,392,874774815.0,1,132
20,712,874774956.0,1,133
20,181,874774956.0,1,134
20,222,874774956.0,1,135
20,28,874774993.0,1,136
20,77,874775038.0,1,137
20,153,874775038.0,1,138
20,270,874775136.0,1,139
20,647,874775136.0,1,140
20,514,874775136.0,1,141
20,862,874775185.0,1,142
20,209,874775185.0,1,143
20,695,874775262.0,1,144
20,87,874775262.0,1,145
20,552,874775262.0,1,146
20,534,874775262.0,1,147
20,12,874775311.0,1,148
20,403,874775311.0,1,149
20,531,874775406.0,1,150
20,364,874775406.0,1,151
20,246,874775406.0,1,152
20,536,874775406.0,1,153
20,306,874775406.0,1,154
20,52,874775406.0,1,155
20,278,874775465.0,1,156
20,365,874775465.0,1,157
20,487,874775465.0,1,158
20,140,874775535.0,1,159
20,1034,874775535.0,1,160
20,17,874775580.0,1,161
20,198,874775580.0,1,162
20,704,874775580.0,1,163
20,355,874775580.0,1,164
20,10,874775614.0,1,165
20,781,874775647.0,1,166
20,1163,874775680.0,1,167
20,305,874775731.0,1,168
20,136,874775815.0,1,169
20,872,874775815.0,1,170
20,555,874775849.0,1,171
20,25,874775914.0,1,172
20,177,874775914.0,1,173
20,165,874775945.0,1,174
20,416,874775945.0,1,175
20,523,874775980.0,1,176
20,507,874775980.0,1,177
635,193,874777260.0,1,178
635,229,874777440.0,1,179
635,297,874777491.0,1,180
635,99,874777491.0,1,181
635,92,874777528.0,1,182
635,216,874777528.0,1,183
635,571,874777528.0,1,184
635,856,874777583.0,1,185
635,5,874777623.0,1,186
635,260,874777623.0,1,187
635,349,874777658.0,1,188
635,239,874777701.0,1,189
635,337,874777735.0,1,190
635,405,874777735.0,1,191
635,288,874777735.0,1,192
635,399,874777765.0,1,193
635,500,874777833.0,1,194
635,277,874777890.0,1,195
635,356,874777925.0,1,196
635,200,874777948.0,1,197
635,247,874777974.0,1,198
635,529,874777998.0,1,199
635,47,874778065.0,1,200
635,591,874778065.0,1,201
635,423,874778065.0,1,202
635,396,874778095.0,1,203
635,632,874778096.0,1,204
635,93,874778154.0,1,205
635,236,874778181.0,1,206
635,646,874778207.0,1,207
635,550,874778240.0,1,208
635,44,874778240.0,1,209
635,102,874778240.0,1,210
635,527,874778274.0,1,211
635,557,874778274.0,1,212
635,240,874778274.0,1,213
635,195,874778274.0,1,214
635,808,874778299.0,1,215
635,649,874778299.0,1,216
635,291,874778345.0,1,217
635,734,874778345.0,1,218
635,179,874778366.0,1,219
635,146,874778424.0,1,220
635,208,874778479.0,1,221
635,504,874778479.0,1,222
635,408,874778479.0,1,223
635,426,874778479.0,1,224
635,456,874778479.0,1,225
635,112,874778515.0,1,226
635,156,874778515.0,1,227
635,499,874778515.0,1,228
635,801,874778568.0,1,229
635,147,874778568.0,1,230
635,114,874778569.0,1,231
635,476,874778569.0,1,232
635,201,874778569.0,1,233
635,758,874778569.0,1,234
635,543,874778612.0,1,235
635,375,874778612.0,1,236
635,698,874778612.0,1,237
635,296,874778612.0,1,238
635,532,874778613.0,1,239
635,249,874778696.0,1,240
635,368,874778722.0,1,241
635,978,874778756.0,1,242
635,1113,874778756.0,1,243
635,926,874778756.0,1,244
20,350,874780832.0,1,245
20,1036,874780860.0,1,246
593,568,874780864.0,1,247
593,420,874780864.0,1,248
593,117,874780909.0,1,249
593,899,874780945.0,1,250
20,516,874780969.0,1,251
20,1186,874780996.0,1,252
593,1069,874781004.0,1,253
593,49,874781004.0,1,254
20,706,874781037.0,1,255
20,1182,874781037.0,1,256
593,58,874781050.0,1,257
20,228,874781067.0,1,258
20,1091,874781068.0,1,259
593,52,874781076.0,1,260
593,189,874781076.0,1,261
593,133,874781173.0,1,262
593,387,874781173.0,1,263
20,90,874781198.0,1,264
20,1403,874781198.0,1,265
20,216,874781198.0,1,266
20,229,874781198.0,1,267
20,454,874781198.0,1,268
593,595,874781207.0,1,269
20,567,874781257.0,1,270
20,102,874781257.0,1,271
20,34,874781257.0,1,272
20,101,874781303.0,1,273
20,356,874781303.0,1,274
20,367,874781351.0,1,275
20,217,874781352.0,1,276
20,231,874781352.0,1,277
20,538,874781407.0,1,278
20,347,874781407.0,1,279
20,239,874781460.0,1,280
20,21,874781547.0,1,281
20,679,874781547.0,1,282
20,431,874781628.0,1,283
20,408,874781698.0,1,284
20,92,874781742.0,1,285
20,317,874781742.0,1,286
20,677,874781779.0,1,287
20,864,874781779.0,1,288
20,547,874781829.0,1,289
20,423,874781829.0,1,290
20,32,874781872.0,1,291
20,297,874781915.0,1,292
20,201,874781915.0,1,293
20,114,874781994.0,1,294
20,275,874781994.0,1,295
20,873,874781994.0,1,296
20,88,874782022.0,1,297
20,471,874782022.0,1,298
20,797,874782068.0,1,299
20,9,874782068.0,1,300
20,94,874782100.0,1,301
20,121,874782127.0,1,302
20,316,874782190.0,1,303
20,458,874782190.0,1,304
20,161,874782191.0,1,305
20,100,874782228.0,1,306
593,357,874783018.0,1,307
593,12,874783052.0,1,308
593,68,874783052.0,1,309
593,400,874783298.0,1,310
593,695,874783470.0,1,311
593,77,874784095.0,1,312
153,144,874784266.0,1,313
153,1114,874784337.0,1,314
153,52,874784337.0,1,315
153,305,874784338.0,1,316
153,209,874784385.0,1,317
153,357,874784440.0,1,318
153,133,874784440.0,1,319
153,873,874784440.0,1,320
153,63,874784440.0,1,321
153,198,874784466.0,1,322
153,1069,874784466.0,1,323
153,665,874784466.0,1,324
153,432,874784497.0,1,325
153,180,874784538.0,1,326
153,49,874784557.0,1,327
153,600,874784575.0,1,328
153,24,874784615.0,1,329
153,136,874784638.0,1,330
153,1022,874784638.0,1,331
153,25,874784668.0,1,332
153,103,874784668.0,1,333
153,181,874784712.0,1,334
153,531,874784972.0,1,335
153,278,874785024.0,1,336
153,179,874785165.0,1,337
153,411,874785165.0,1,338
153,81,874785194.0,1,339
153,240,874785233.0,1,340
153,479,874785233.0,1,341
153,216,874785233.0,1,342
153,856,874785348.0,1,343
153,295,874785447.0,1,344
153,36,874785448.0,1,345
153,89,874785474.0,1,346
153,389,874785474.0,1,347
153,238,874785526.0,1,348
153,329,874785526.0,1,349
153,288,874785526.0,1,350
153,866,874785526.0,1,351
153,574,874785526.0,1,352
153,102,874785551.0,1,353
153,88,874785552.0,1,354
153,182,874785582.0,1,355
153,217,874785582.0,1,356
153,137,874785624.0,1,357
153,399,874785624.0,1,358
153,29,874785624.0,1,359
153,101,874785652.0,1,360
153,567,874785675.0,1,361
153,195,874785701.0,1,362
153,256,874785728.0,1,363
153,125,874785728.0,1,364
153,100,874785756.0,1,365
153,361,874785756.0,1,366
153,772,874785809.0,1,367
153,38,874785809.0,1,368
153,474,874785809.0,1,369
153,199,874785809.0,1,370
153,509,874785843.0,1,371
153,93,874785843.0,1,372
153,67,874785843.0,1,373
153,401,874785843.0,1,374
153,311,874785843.0,1,375
153,161,874785889.0,1,376
153,794,874785889.0,1,377
153,693,874785926.0,1,378
153,657,874785926.0,1,379
153,822,874785926.0,1,380
153,22,874785926.0,1,381
153,156,874785957.0,1,382
153,726,874785957.0,1,383
153,226,874785957.0,1,384
153,236,874785985.0,1,385
153,31,874786016.0,1,386
153,34,874786016.0,1,387
153,544,874786037.0,1,388
153,56,874786066.0,1,389
153,480,874786098.0,1,390
153,852,874786098.0,1,391
153,260,874786098.0,1,392
153,16,874786098.0,1,393
153,247,874786122.0,1,394
153,220,874786220.0,1,395
153,26,874786220.0,1,396
153,215,874786244.0,1,397
37,157,874786337.0,1,398
37,652,874786338.0,1,399
37,95,874786366.0,1,400
37,98,874786366.0,1,401
37,51,874786392.0,1,402
37,60,874786392.0,1,403
37,144,874786392.0,1,404
37,497,874786419.0,1,405
37,331,874786419.0,1,406
37,1023,874786419.0,1,407
37,274,874786419.0,1,408
153,221,874786438.0,1,409
37,814,874786439.0,1,410
915,47,874786460.0,1,411
153,114,874786462.0,1,412
37,180,874786467.0,1,413
37,153,874786467.0,1,414
37,242,874786467.0,1,415
37,63,874786467.0,1,416
37,52,874786488.0,1,417
153,57,874786488.0,1,418
153,342,874786512.0,1,419
153,423,874786513.0,1,420
37,141,874786517.0,1,421
37,209,874786517.0,1,422
37,862,874786538.0,1,423
37,140,874786568.0,1,424
37,189,874786568.0,1,425
37,103,874786568.0,1,426
37,25,874786568.0,1,427
37,24,874786568.0,1,428
37,695,874786605.0,1,429
37,739,874786605.0,1,430
37,49,874786605.0,1,431
37,406,874786605.0,1,432
37,382,874786632.0,1,433
37,204,874786632.0,1,434
37,490,874786632.0,1,435
37,120,874786657.0,1,436
37,861,874786657.0,1,437
37,10,874786657.0,1,438
593,240,874786664.0,1,439
593,230,874786664.0,1,440
37,30,874786686.0,1,441
37,452,874786686.0,1,442
37,267,874786686.0,1,443
37,86,874786686.0,1,444
37,198,874786686.0,1,445
37,427,874786686.0,1,446
593,174,874786695.0,1,447
37,413,874786713.0,1,448
37,158,874786713.0,1,449
37,87,874786713.0,1,450
37,181,874786734.0,1,451
153,506,874786746.0,1,452
37,364,874786756.0,1,453
37,355,874786756.0,1,454
37,77,874786756.0,1,455
153,538,874786770.0,1,456
153,518,874786770.0,1,457
37,305,874786784.0,1,458
37,97,874786784.0,1,459
37,483,874786784.0,1,460
153,471,874786793.0,1,461
37,302,874786807.0,1,462
37,306,874786807.0,1,463
37,656,874786807.0,1,464
37,370,874786831.0,1,465
37,781,874786831.0,1,466
37,707,874786854.0,1,467
37,1076,874786854.0,1,468
37,443,874786854.0,1,469
37,552,874786876.0,1,470
37,722,874786876.0,1,471
153,296,874786880.0,1,472
37,403,874786897.0,1,473
37,769,874786897.0,1,474
153,590,874786903.0,1,475
37,1006,874786924.0,1,476
37,233,874786924.0,1,477
37,577,874786924.0,1,478
37,371,874786924.0,1,479
153,53,874786926.0,1,480
37,564,874786945.0,1,481
153,540,874786950.0,1,482
37,23,874786964.0,1,483
153,754,874786974.0,1,484
153,112,874786993.0,1,485
37,1036,874787006.0,1,486
37,350,874787006.0,1,487
153,556,874787016.0,1,488
153,456,874787017.0,1,489
37,196,874787044.0,1,490
37,136,874787044.0,1,491
153,526,874787059.0,1,492
37,151,874787065.0,1,493
37,935,874787065.0,1,494
153,458,874787083.0,1,495
37,516,874787090.0,1,496
37,563,874787091.0,1,497
